name;classes;school;cast_time;range;duration;material_cost;verbal;somatic;date
Aura of Life;Cleric, Paladin;Abjuration;Action;0.00;Concentration, up to 10 minutes;;1;0;27/05/14
Aura of Purity;Cleric, Paladin;Abjuration;Action;0.00;Concentration, up to 10 minutes;;1;0;27/05/14
Aura of Vitality;Cleric, Druid, Paladin;Evocation;Action;0.00;Concentration, up to 1 minute;;1;0;27/05/14
Awaken;Bard, Druid;Transmutation;8 Hours;0.00;Instantaneous;an agate worth at least 1,000 gp, which the spell consumes;1;1;27/05/14
Bane;Bard, Cleric;Enchantment;Action;9.15;Concentration, up to 1 minute;a drop of blood;1;1;27/05/14
Banishing Smite;Paladin;Abjuration;Bonus;0.00;Concentration, up to 1 minute;;1;0;27/05/14
Banishment;Cleric, Paladin, Sorcerer, Warlock, Wizard;Abjuration;Action;18.29;Concentration, up to 1 minutes;an item distasteful to the target;1;1;27/05/14
Barkskin;Druid, Ranger;Transmutation;Action;0.00;Concentration, up to 1 hour;a handful of oak bark;1;1;27/05/14
Beacon of Hope;Cleric;Abjuration;Action;9.15;Concentration, up to 1 minute;;1;1;27/05/14
Beast Sense;Druid, Ranger;Divination;Action;0.00;Concentration, up to 1 hour;;0;1;27/05/14
Bestow Curse;Bard, Cleric, Wizard;Necromancy;Action;0.00;Concentration, up to 1 minute;;1;1;27/05/14
Bigby's Hand;Artificer, Sorcerer, Wizard;Evocation;Action;36.58;Concentration, up to 1 minute;an eggshell and a snakeskin glove;1;1;27/05/14
Blade Barrier;Cleric;Evocation;Action;27.43;Concentration, up to 10 minutes;;1;1;27/05/14
Blade of Disaster;Sorcerer, Warlock, Wizard;Conjuration;Bonus;18.29;Concentration, up to 1 minute;;1;1;27/05/14
Blade Ward;Bard, Sorcerer, Warlock, Wizard;Abjuration;Action;0.00;1 round;;1;1;27/05/14
Bless;Cleric, Paladin;Enchantment;Action;9.15;Concentration, up to 1 minute;a sprinkling of holy water;1;1;27/05/14
Blight;Druid, Sorcerer, Warlock, Wizard;Necromancy;Action;9.15;Instantaneous;;1;1;27/05/14
Blinding Smite;Paladin;Evocation;Bonus;0.00;Concentration, up to 1 minute;;1;0;27/05/14
Blindness/Deafness;Bard, Cleric, Sorcerer, Wizard;Necromancy;Action;9.15;1 minute;;1;0;27/05/14
Blink;Artificer, Sorcerer, Wizard;Transmutation;Action;0.00;1 minute;;1;1;27/05/14
Blur;Artificer, Sorcerer, Wizard;Illusion;Action;0.00;Concentration, up to 1 minute;;1;0;27/05/14
Branding Smite;Paladin;Evocation;Bonus;0.00;Concentration, up to 1 minute;;1;0;27/05/14
Burning Hands;Sorcerer, Wizard;Evocation;Action;0.00;Instantaneous;;1;1;27/05/14
Call Lightning;Druid;Conjuration;Action;36.58;Concentration, up to 10 minutes;;1;1;27/05/14
Calm Emotions;Bard, Cleric;Enchantment;Action;18.29;Concentration, up to 1 minute;;1;1;27/05/14
Chain Lightning;Sorcerer, Wizard;Evocation;Action;45.72;Instantaneous;a bit of fur, a piece of amber, glass, or a crystal rod, and three silver pins;1;1;27/05/14
Charm Person;Bard, Druid, Sorcerer, Warlock, Wizard;Enchantment;Action;9.15;1 hour;;1;1;27/05/14
Chill Touch;Sorcerer, Warlock, Wizard;Necromancy;Action;36.58;1 round;;1;1;27/05/14
Chromatic Orb;Sorcerer, Wizard;Evocation;Action;27.43;Instantaneous;a diamond worth at least 50 gp;1;1;27/05/14
Circle of Death;Sorcerer, Warlock, Wizard;Necromancy;Action;45.72;Instantaneous;the powder of a crushed black pearl worth at least 500 gp;1;1;27/05/14
Circle of Power;Paladin;Abjuration;Action;0.00;Concentration, up to 10 minutes;;1;0;27/05/14
Clairvoyance;Bard, Cleric, Sorcerer, Wizard;Divination;10 Minutes;1609.34;Concentration, up to 10 minutes;a focus worth at least 100 gp, either a jeweled horn for hearing or a glass eye for seeing;1;1;27/05/14
Clone;Wizard;Necromancy;1 Hour;0.00;Instantaneous;a diamond worth at least 1000 gp and at least 1 cubic inch of flesh of the creature that is to be cloned, which the spell consumes. A vessel worth at least 2000 gp that has a sealable lid and is large enough to hold a Medium creature, such as a huge urn, coffin, mud-filled cyst in the ground, or crystal container filled with salt water;1;1;27/05/14
Cloud of Daggers;Bard, Sorcerer, Warlock, Wizard;Conjuration;Action;18.29;Concentration, up to 1 minute;a sliver of glass;1;1;27/05/14
Cloudkill;Sorcerer, Wizard;Conjuration;Action;36.58;Concentration, up to 10 minutes;;1;1;27/05/14
Color Spray;Bard, Sorcerer, Wizard;Illusion;Action;0.00;1 round;A pinch of powder or sand that is colored red, yellow, and blue;1;1;27/05/14
Command;Bard, Cleric, Paladin;Enchantment;Action;18.29;1 round;;1;0;27/05/14
Commune;Cleric;Divination;1 Minute;0.00;1 minute;incense and a vial of holy or unholy water;1;1;27/05/14
Commune with Nature;Druid, Ranger;Divination;1 Minute;0.00;Instantaneous;;1;1;27/05/14
Compelled Duel;Paladin;Enchantment;Bonus;9.15;Concentration, up to 1 minute;;1;0;27/05/14
Comprehend Languages;Bard, Sorcerer, Warlock, Wizard;Divination;Action;0.00;1 hour;a pinch of soot and salt;1;1;27/05/14
Compulsion;Bard;Enchantment;Action;9.15;Concentration, up to 1 minute;;1;1;27/05/14
Cone of Cold;Druid, Sorcerer, Wizard;Evocation;Action;0.00;Instantaneous;a small crystal or glass cone;1;1;27/05/14
Confusion;Bard, Druid, Sorcerer, Wizard;Enchantment;Action;27.43;Concentration, up to 1 minute;three nut shells;1;1;27/05/14
Conjure Animals;Druid, Ranger;Conjuration;Action;18.29;Concentration, up to 1 hour;;1;1;27/05/14
Conjure Barrage;Ranger;Conjuration;Action;0.00;Instantaneous;one piece of ammunition or a thrown weapon;1;1;27/05/14
Conjure Celestial;Cleric;Conjuration;1 Minute;27.43;Concentration, up to 1 hour;;1;1;27/05/14
Conjure Elemental;Druid, Wizard;Conjuration;Action;27.43;Concentration, up to 1 hour;burning incense for air, soft clay for earth, sulfur and phosphorus for fire, or water and sand for water;1;1;27/05/14
Conjure Fey;Druid, Warlock;Conjuration;Action;27.43;Concentration, up to 1 hour;;1;1;27/05/14
Conjure Minor Elementals;Druid, Wizard;Conjuration;1 Minute;27.43;Concentration, up to 1 hour;;1;1;27/05/14
Conjure Volley;Ranger;Conjuration;Action;45.72;Instantaneous;one piece of ammunition or one thrown weapon;1;1;27/05/14
Conjure Woodland Beings;Druid, Ranger;Conjuration;Action;18.29;Concentration, up to 1 hour;one holly berry per creature summoned;1;1;27/05/14
Contact Other Plane;Warlock, Wizard;Divination;1 Minute;0.00;1 minute;;1;0;27/05/14
Contagion;Cleric, Druid;Necromancy;Action;0.00;7 days;;1;1;27/05/14
Contingency;Wizard;Evocation;10 Minutes;0.00;10 days;a statuette of yourself carved from ivory and decorated with gems worth at least 1,500 gp;1;1;27/05/14
Continual Flame;Artificer, Cleric, Druid, Wizard;Evocation;Action;0.00;Until dispelled;ruby dust worth 50 gp, which the spell consumes;1;1;27/05/14
Control Water;Cleric, Druid, Wizard;Transmutation;Action;91.44;Concentration, up to 10 minutes;a drop of water and a pinch of dust;1;1;27/05/14
Control Weather;Cleric, Druid, Wizard;Transmutation;10 Minutes;0.00;Concentration, up to 8 hours;(burning incense and bits of earth and wood mixed in water;1;1;27/05/14
Cordon of Arrows;Ranger;Transmutation;Action;1.52;8 hours;four or more arrows or bolts;1;1;27/05/14
Counterspell;Sorcerer, Warlock, Wizard;Abjuration;Reaction;18.29;Instantaneous;;0;1;27/05/14
Create Food and Water;Artificer, Cleric, Paladin;Conjuration;Action;9.15;Instantaneous;;1;1;27/05/14
Create or Destroy Water;Cleric, Druid;Transmutation;Action;9.15;Instantaneous;a drop of water if creating water or a few grains of sand if destroying it;1;1;27/05/14
Create Undead;Cleric, Warlock, Wizard;Necromancy;1 Minute;3.05;Instantaneous;one clay pot filled with grave dirt, one clay pot filled with brackish water, and one 150 gp black onyx stone for each corpse;1;1;27/05/14
Creation;Artificer, Sorcerer, Wizard;Illusion;Action;9.15;Special;a tiny piece of matter of the same type of the item you plan to create;1;1;27/05/14
Crown of Madness;Bard, Sorcerer, Warlock, Wizard;Enchantment;Action;36.58;Concentration, up to 1 minute;;1;1;27/05/14
Crusader's Mantle;Paladin;Evocation;Action;0.00;Concentration, up to 1 minute;;1;0;27/05/14
Cure Wounds;Artificer, Bard, Cleric, Druid, Paladin, Ranger;Evocation;Action;0.00;Instantaneous;;1;1;27/05/14
Dancing Lights;Artificer, Bard, Sorcerer, Wizard;Evocation;Action;36.58;Concentration, up to 1 minute;a bit of phosphorus or wychwood, or a glowworm;1;1;27/05/14
Darkness;Sorcerer, Warlock, Wizard;Evocation;Action;18.29;Concentration, up to 10 minutes;bat fur and a drop of pitch or piece of coal;1;0;27/05/14
Darkvision;Artificer, Druid, Ranger, Sorcerer, Wizard;Transmutation;Action;0.00;8 hours;either a pinch of dried carrot or an agate;1;1;27/05/14
Daylight;Cleric, Druid, Paladin, Ranger, Sorcerer;Evocation;Action;18.29;1 hour;;1;1;27/05/14
Death Ward;Cleric, Paladin;Abjuration;Action;0.00;8 hours;;1;1;27/05/14
Delayed Blast Fireball;Sorcerer, Wizard;Evocation;Action;45.72;Concentration, up to 1 minute;a tiny ball of bat guano and sulfur;1;1;27/05/14
Demiplane;Sorcerer, Warlock, Wizard;Conjuration;Action;18.29;1 hour;;0;1;27/05/14
Destructive Wave;Paladin;Evocation;Action;0.00;Instantaneous;;1;0;27/05/14
Detect Evil and Good;Cleric, Paladin;Divination;Action;0.00;Concentration, up to 10 minutes;;1;1;27/05/14
Detect Magic;Artificer, Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Wizard;Divination;Action;0.00;Concentration, up to 10 minutes;;1;1;27/05/14
Detect Poison and Disease;Cleric, Druid, Paladin, Ranger;Divination;Action;0.00;Concentration, up to 10 minutes;a yew leaf;1;1;27/05/14
Detect Thoughts;Bard, Sorcerer, Wizard;Divination;Action;0.00;Concentration, up to 1 minute;a copper piece;1;1;27/05/14
Dimension Door;Bard, Sorcerer, Warlock, Wizard;Conjuration;Action;152.40;Instantaneous;;1;0;27/05/14
Disguise Self;Artificer, Bard, Sorcerer, Wizard;Illusion;Action;0.00;1 hour;;1;1;27/05/14
Disintegrate;Sorcerer, Wizard;Transmutation;Action;18.29;Instantaneous;a lodestone and a pinch of dust;1;1;27/05/14
Dispel Evil and Good;Cleric, Paladin;Abjuration;Action;0.00;Concentration, up to 1 minute;holy water or powdered silver and iron;1;1;27/05/14
Dispel Magic;Artificer, Bard, Cleric, Druid, Paladin, Sorcerer, Warlock, Wizard;Abjuration;Action;36.58;Instantaneous;;1;1;27/05/14
Dissonant Whispers;Bard;Enchantment;Action;18.29;Instantaneous;;1;0;27/05/14
Distort Value;Bard, Sorcerer, Warlock, Wizard;Illusion;1 Minute;0.00;8 hours;;1;0;27/05/14
Divination;Cleric, Druid, Wizard;Divination;Action;0.00;Instantaneous;incense and a sacrificial offering appropriate to your religion, together worth at least 25 gp, which the spell consumes;1;1;27/05/14
Divine Favor;Paladin;Evocation;Bonus;0.00;Concentration, up to 1 minute;;1;1;27/05/14
Divine Word;Cleric;Evocation;Bonus;9.15;Instantaneous;;1;0;27/05/14
Dominate Beast;Druid, Ranger, Sorcerer;Enchantment;Action;18.29;Concentration, up to 1 minute;;1;1;27/05/14
Dominate Monster;Bard, Sorcerer, Warlock, Wizard;Enchantment;Action;18.29;Concentration, up to 1 hour;;1;1;27/05/14
Dominate Person;Bard, Sorcerer, Wizard;Enchantment;Action;18.29;Concentration, up to 1 minute;;1;1;27/05/14
Drawmij's Instant Summons;Wizard;Conjuration;1 Minute;0.00;Until dispelled;a sapphire worth 1,000 gp;1;1;27/05/14
Dream;Bard, Warlock, Wizard;Illusion;1 Minute;;8 hours;a handful of sand, a dab of ink, and a writing quill plucked from a sleeping bird;1;1;27/05/14
Druidcraft;Druid;Transmutation;Action;9.15;Instantaneous;;1;1;27/05/14
Earthquake;Cleric, Druid, Sorcerer;Evocation;Action;152.40;Concentration, up to 1 minute;a pinch o f dirt, a piece o f rock, and a lump of clay;1;1;27/05/14
Eldritch Blast;Warlock;Evocation;Action;36.58;Instantaneous;;1;1;27/05/14
Elemental Weapon;Artificer, Druid, Paladin, Ranger;Transmutation;Action;0.00;Concentration, up to 1 hour;;1;1;27/05/14
Enhance Ability;Artificer, Bard, Cleric, Druid, Ranger, Sorcerer, Wizard;Transmutation;Action;0.00;Concentration, up to 1 hour;fur or a feather from a beast;1;1;27/05/14
Enlarge/Reduce;Artificer, Bard, Druid, Sorcerer, Wizard;Transmutation;Action;9.15;Concentration, up to 1 minute;(a pinch of powdered iron;1;1;27/05/14
Ensnaring Strike;Ranger;Conjuration;Bonus;0.00;Concentration, up to 1 minute;;1;0;27/05/14
Entangle;Druid, Ranger;Conjuration;Action;27.43;Concentration, up to 1 minute;;1;1;27/05/14
Enthrall;Bard, Warlock;Enchantment;Action;18.29;1 minute;;1;1;27/05/14
Etherealness;Bard, Cleric, Sorcerer, Warlock, Wizard;Transmutation;Action;0.00;Up to 8 hours;;1;1;27/05/14
Evard's Black Tentacles;Wizard;Conjuration;Action;27.43;Concentration, up to 1 minute;a piece of tentacle from a giant octopus or a giant squid;1;1;27/05/14
Expeditious Retreat;Artificer, Sorcerer, Warlock, Wizard;Transmutation;Bonus;0.00;Concentration, up to 10 minutes;;1;1;27/05/14
Eyebite;Bard, Sorcerer, Warlock, Wizard;Necromancy;Action;0.00;Concentration, up to 1 minute;;1;1;27/05/14
Fabricate;Artificer, Wizard;Transmutation;10 Minutes;36.58;Instantaneous;;1;1;27/05/14
Faerie Fire;Artificer, Bard, Druid;Evocation;Action;18.29;Concentration, up to 1 minute;;1;0;27/05/14
False Life;Artificer, Sorcerer, Wizard;Necromancy;Action;0.00;1 hour;a small amount of alcohol or distilled spirits;1;1;27/05/14
Fear;Bard, Sorcerer, Warlock, Wizard;Illusion;Action;0.00;Concentration, up to 1 minute;a white feather or the heart of a hen;1;1;27/05/14
Feather Fall;Artificer, Bard, Sorcerer, Wizard;Transmutation;Reaction;18.29;1 minute;a small feather or piece of down;1;0;27/05/14
Feeblemind;Bard, Druid, Warlock, Wizard;Enchantment;Action;45.72;Instantaneous;a handful of clay, crystal, glass, or mineral spheres;1;1;27/05/14
Feign Death;Bard, Cleric, Druid, Wizard;Necromancy;Action;0.00;1 hour;a pinch of graveyard dirt;1;1;27/05/14
Find Familiar;Wizard;Conjuration;1 Hour;3.05;Instantaneous;10 gp worth of charcoal, incense, and herbs that must be consumed by fire in a brass brazier;1;1;27/05/14
Find Steed;Paladin;Conjuration;10 Minutes;9.15;Instantaneous;;1;1;27/05/14
Find the Path;Bard, Cleric, Druid;Divination;1 Minute;0.00;Concentration, up to 1 day;a set of divinatory tools – such as bones, ivory sticks, cards, teeth, or carved runes – worth 100 gp, and an object from the location you wish to find;1;1;27/05/14
Find Traps;Cleric, Druid, Ranger;Divination;Action;36.58;Instantaneous;;1;1;27/05/14
Finger of Death;Sorcerer, Warlock, Wizard;Necromancy;Action;18.29;Instantaneous;;1;1;27/05/14
Fire Bolt;Artificer, Sorcerer, Wizard;Evocation;Action;36.58;Instantaneous;;1;1;27/05/14
Fire Shield;Druid, Sorcerer, Wizard;Evocation;Action;0.00;10 minutes;a bit of phosphorus or a firefly;1;1;27/05/14
Fire Storm;Cleric, Druid, Sorcerer;Evocation;Action;45.72;Instantaneous;;1;1;27/05/14
Fireball;Sorcerer, Wizard;Evocation;Action;45.72;Instantaneous;a tiny ball of bat guano and sulfur;1;1;27/05/14
Flame Blade;Druid, Sorcerer;Evocation;Bonus;0.00;Concentration, up to 10 minutes;a leaf of sumac;1;1;27/05/14
Flame Stride (UA);Artificer, Ranger, Sorcerer, Wizard;Transmutation;Bonus;0.00;Concentration, up to 1 minute;;1;1;27/05/14
Flame Strike;Cleric;Evocation;Action;18.29;Instantaneous;pinch of sulfur;1;1;27/05/14
Flaming Sphere;Druid, Sorcerer, Wizard;Conjuration;Action;18.29;Concentration, up to 1 minute;a bit of tallow, a pinch of brimstone, and a dusting of powdered iron;1;1;27/05/14
Flesh to Stone;Druid, Sorcerer, Warlock, Wizard;Transmutation;Action;18.29;Concentration, up to 1 minute;a pinch of lime, water, and earth;1;1;27/05/14
Flock of Familiars;Warlock, Wizard;Conjuration;1 Minute;0.00;1 hour;;1;1;27/05/14
Fly;Artificer, Sorcerer, Warlock, Wizard;Transmutation;Action;0.00;Concentration, up to 10 minute;a wing feather from any bird;1;1;27/05/14
Fog Cloud;Druid, Ranger, Sorcerer, Wizard;Conjuration;Action;36.58;Concentration, up to 1 hour;;1;1;27/05/14
Forbiddance;Cleric;Abjuration;10 Minutes;0.00;1 day;a sprinkling of holy water, rare incense, and powdered ruby worth at least 1,000 gp;1;1;27/05/14
Forcecage;Bard, Warlock, Wizard;Evocation;Action;30.48;1 hour;ruby dust worth 1,500 gp;1;1;27/05/14
Foresight;Bard, Druid, Warlock, Wizard;Divination;1 Minute;0.00;8 hours;a hummingbird feather;1;1;27/05/14
Fortune's Favor;Wizard;Divination;Action;18.29;1 hour;a white pearl worth at least 100 gp, which the spell consumes;1;1;27/05/14
Freedom of Movement;Artificer, Bard, Cleric, Druid, Ranger;Abjuration;Action;0.00;1 hour;a leather strap, bound around the arm or a similar appendage;1;1;27/05/14
Friends;Bard, Sorcerer, Warlock, Wizard;Enchantment;Action;0.00;Concentration, up to 1 minute;a small amount of makeup applied to the face as this spell is cast;0;1;27/05/14
Gaseous Form;Sorcerer, Warlock, Wizard;Transmutation;Action;0.00;Concentration, up to 1 hour;a bit of gauze and a wisp of smoke;1;1;27/05/14
Gate;Cleric, Sorcerer, Warlock, Wizard;Conjuration;Action;18.29;Concentration, up to 1 minute;a diamond worth at least 5,000 gp;1;1;27/05/14
Geas;Bard, Cleric, Druid, Paladin, Wizard;Enchantment;1 Minute;18.29;30 days;;1;0;27/05/14
Gentle Repose;Cleric, Paladin, Wizard;Necromancy;Action;0.00;10 days;a pinch of salt and one copper piece placed on each of the corpse's eyes, which must remain there for the duration;1;1;27/05/14
Giant Insect;Druid;Transmutation;Action;9.15;Concentration, up to 10 minutes;;1;1;27/05/14
Gift of Alacrity;Wizard;Divination;1 Minute;0.00;8 hours;;1;1;27/05/14
Gift of Gab;Bard, Wizard;Enchantment;Reaction;0.00;Instantaneous;2 gold coins, which is consumed as tax for using the spell;1;1;27/05/14
Glibness;Bard, Warlock;Transmutation;Action;0.00;1 hour;;1;0;27/05/14
Globe of Invulnerability;Sorcerer, Wizard;Abjuration;Action;0.00;Concentration, up to 1 minute;a glass or crystal bead that shatters when the spell ends;1;1;27/05/14
Glyph of Warding;Artificer, Bard, Cleric, Wizard;Abjuration;1 Hour;0.00;Until dispelled or triggered;incense and powdered diamond worth at least 200 gp, which the spell consumes;1;1;27/05/14
Goodberry;Druid, Ranger;Transmutation;Action;0.00;Instantaneous;a sprig of mistletoe;1;1;27/05/14
Grasping Vine;Druid, Ranger;Conjuration;Bonus;9.15;Concentration, up to 1 minute;;1;1;27/05/14
Gravity Fissure;Wizard;Evocation;Action;0.00;Instantaneous;a fistful of iron filings;1;1;27/05/14
Gravity Sinkhole;Wizard;Evocation;Action;36.58;Instantaneous;a black marble;1;1;27/05/14
Grease;Artificer, Sorcerer, Wizard;Conjuration;Action;18.29;1 minute;a bit of pork rind or butter;1;1;27/05/14
Greater Invisibility;Bard, Sorcerer, Wizard;Illusion;Action;0.00;Concentration, up to 1 minute;;1;1;27/05/14
Greater Restoration;Artificer, Bard, Cleric, Druid, Ranger;Abjuration;Action;0.00;Instantaneous;diamond dust worth at least 100 gp, which the spell consumes;1;1;27/05/14
Guardian of Faith;Cleric;Conjuration;Action;9.15;8 hours;;1;0;27/05/14
Guards and Wards;Bard, Wizard;Abjuration;10 Minutes;0.00;24 hours;burning incense, a small measure of brimstone and oil, a knotted string, a small amount of umber hulk blood, and a small silver rod worth at least 10 gp;1;1;27/05/14
Guidance;Artificer, Cleric, Druid;Divination;Action;0.00;Concentration, up to 1 minute;;1;1;27/05/14
Guiding Bolt;Cleric;Evocation;Action;36.58;1 round;;1;1;27/05/14
Gust of Wind;Druid, Ranger, Sorcerer, Wizard;Evocation;Action;0.00;Concentration, up to 1 minute;a legume seed;1;1;27/05/14
Hail of Thorns;Ranger;Conjuration;Bonus;0.00;Concentration, up to 1 minute;;1;0;27/05/14
Hallow;Cleric;Evocation;24 Hours;0.00;Until dispelled;herbs, oils, and incense worth at least 1,000 gp, which the spell consumes;1;1;27/05/14
Hallucinatory Terrain;Bard, Druid, Warlock, Wizard;Illusion;10 Minutes;91.44;24 hours;a stone, a twig, and a bit of green plant;1;1;27/05/14
Harm;Cleric;Necromancy;Action;18.29;Instantaneous;;1;1;27/05/14
Haste;Artificer, Sorcerer, Wizard;Transmutation;Action;9.15;Concentration, up to 1 minute;a shaving of licorice root;1;1;27/05/14
Heal;Cleric, Druid;Evocation;Action;18.29;Instantaneous;;1;1;27/05/14
Healing Word;Bard, Cleric, Druid;Evocation;Bonus;18.29;Instantaneous;;1;0;27/05/14
Heat Metal;Artificer, Bard, Druid;Transmutation;Action;18.29;Concentration, up to 1 minute;a piece of iron and a flame;1;1;27/05/14
Hellish Rebuke;Warlock;Evocation;Reaction;18.29;Instantaneous;;1;1;27/05/14
Heroes' Feast;Bard, Cleric, Druid;Conjuration;10 Minutes;9.15;Instantaneous;a gem-encrusted bowl worth at least 1,000 gp, which the spell consumes;1;1;27/05/14
Heroism;Bard, Paladin;Enchantment;Action;0.00;Concentration, up to 1 minute;;1;1;27/05/14
Hex;Warlock;Enchantment;Bonus;27.43;Concentration, up to 1 hour;the petrified eye of a newt;1;1;27/05/14
Hold Monster;Bard, Sorcerer, Warlock, Wizard;Enchantment;Action;27.43;Concentration, up to 1 minute;a small, straight piece of iron;1;1;27/05/14
Hold Person;Bard,Cleric, Druid,Sorcerer, Warlock, Wizard;Enchantment;Action;18.29;Concentration, up to 1 minute;a small, straight piece of iron;1;1;27/05/14
Holy Aura;Cleric;Abjuration;Action;0.00;Concentration, up to 1 minute;a tiny reliquary worth at least 1,000 gp containing a sacred relic, such as a scrap of cloth from a saint's robe or a piece of parchment from a religious text;1;1;27/05/14
Hunger Of Hadar;Warlock;Conjuration;Action;45.72;Concentration, up to 1 minute;a pickled octopus tentacle;1;1;27/05/14
Hunter's Mark;Ranger;Divination;Bonus;27.43;Concentration, up to 1 hour;;1;0;27/05/14
Hypnotic Pattern;Bard, Sorcerer, Warlock, Wizard;Illusion;Action;36.58;Concentration, up to 1 minute;a glowing stick of incense or a crystal vial filled with phosphorescent material;0;1;27/05/14
Ice Storm;Druid, Sorcerer, Wizard;Evocation;Action;91.44;Instantaneous;a pinch of dust and a few drops of water;1;1;27/05/14
Identify;Artificer, Bard, Wizard;Divination;1 Minute;0.00;Instantaneous;a pearl worth at least 100 gp and an owl feather;1;1;27/05/14
Illusory Script;Bard, Warlock, Wizard;Illusion;1 Minute;0.00;10 days;a lead-based ink worth at least 10 gp, which the spell consumes;0;1;27/05/14
Imprisonment;Warlock, Wizard;Abjuration;1 Minute;9.15;Until dispelled;a vellum depiction or a carved statuette in the likeness of the target, and a special component that varies according to the version of the spell you choose, worth at least 500 gp per Hit Die of the target;1;1;27/05/14
Incendiary Cloud;Druid, Sorcerer, Wizard;Conjuration;Action;45.72;Concentration, up to 1 minute;;1;1;27/05/14
Inflict Wounds;Cleric;Necromancy;Action;0.00;Instantaneous;;1;1;27/05/14
Insect Plague;Cleric, Druid, Sorcerer;Conjuration;Action;91.44;Concentration, up to 10 minutes;a few grains of sugar, some kernels of grain, and a smear of fat;1;1;27/05/14
Invisibility;Artificer, Bard, Sorcerer, Warlock, Wizard;Transmutation;Action;0.00;Concentration, up to 1 hour;an eyelash encased in gum arabic;1;1;27/05/14
Jump;Artificer, Druid, Ranger, Sorcerer, Wizard;Transmutation;Action;0.00;1 minute;a grasshopper's hind leg;1;1;27/05/14
Knock;Bard, Sorcerer, Wizard;Transmutation;Action;18.29;Instantaneous;;1;0;27/05/14
Legend Lore;Bard, Cleric, Wizard;Divination;10 Minutes;0.00;Instantaneous;incense worth at least 250 gp, which the spell consumes, and four ivory strips worth at least 50 gp each;1;1;27/05/14
Leomund's Secret Chest;Artificer,Wizard;Conjuration;Action;0.00;Instantaneous;an exquisite chest, 3 feet by 2 feet by 2 feet, constructed from rare materials worth at least 5,000 gp, and a Tiny replica made from the same materials worth at least 50 gp;1;1;27/05/14
Leomund's Tiny Hut;Bard, Wizard;Evocation;1 Minute;0.00;8 hours;a small crystal bead;1;1;27/05/14
Lesser Restoration;Artificer, Bard, Cleric, Druid, Paladin, Ranger;Abjuration;Action;0.00;Instantaneous;;1;1;27/05/14
Levitate;Artificer, Sorcerer, Wizard;Transmutation;Action;18.29;Concentration, up to 10 minutes;either a small leather loop or a piece of golden wire bent into a cup shape with a long shank on one end;1;1;27/05/14
Light;Artificer, Bard, Cleric, Sorcerer, Wizard;Evocation;Action;0.00;1 hour;a firefly or phosphorescent moss;1;0;27/05/14
Lightning Arrow;Ranger;Transmutation;Bonus;0.00;Concentration, up to 1 minute;;1;1;27/05/14
